"scientificName","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","ClimateZone","param_count_before","param_count_after","PFT","AccSpeciesName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","taxonRank","family","taxonID","references","source"
"Lindackeria bukobensis","shrub","broadleaved","evergreen",NA,NA,2,3,"ESH","Lindackeria bukobensis","Accepted",FALSE,"Gilg","Lindackeria","species","Achariaceae","wfo-0001063065","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:365664-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Lippia multiflora","shrub","broadleaved","evergreen","C3",NA,3,4,"ESH","Lippia multiflora","Accepted",FALSE,"Moldenke","Lippia","species","Verbenaceae","wfo-0000229007","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:863736-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Loeseneriella africana","shrub","broadleaved","deciduous",NA,NA,1,3,"DSH","Loeseneriella africana","Accepted",FALSE,"(Willd.) R.Wilczek","Loeseneriella","species","Celastraceae","wfo-0000359980","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:431092-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Loeseneriella crenata","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Loeseneriella crenata","Accepted",FALSE,"(Klotzsch) R.Wilczek","Loeseneriella","species","Celastraceae","wfo-0000358989",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Lonchocarpus capassa","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Lonchocarpus capassa","Accepted",FALSE,"Rolfe","Lonchocarpus","species","Fabaceae","wfo-0000199316","https://www.legumedata.org/taxonomy/taxon/2346153","The Fabaceae TEN - Legume Taxonomy Working Group"
"Lophira alata","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Lophira alata","Accepted",FALSE,"Banks ex C.F.Gaertn.","Lophira","species","Ochnaceae","wfo-0000443232",NA,"The Ochnaceae TEN"
"Lophira lanceolata","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Lophira lanceolata","Accepted",FALSE,"Tiegh. ex Keay","Lophira","species","Ochnaceae","wfo-0000443230",NA,"The Ochnaceae TEN"
"Loudetia simplex","graminoid","broadleaved",NA,"C4",NA,3,3,"C4","Loudetia simplex","Accepted",FALSE,"(Nees) C.E.Hubb.","Loudetia","species","Poaceae","wfo-0000878679","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:407627-1","The Poaceae TEN"
"Lovoa trichilioides","tree","broadleaved","evergreen",NA,"tropical",1,4,"BET-Tr","Lovoa trichilioides","Accepted",FALSE,"Harms","Lovoa","species","Meliaceae","wfo-0000443844",NA,"The Meliaceae TEN"
"Lycium schweinfurthii","shrub","broadleaved","deciduous","C3",NA,3,4,"DSH","Lycium schweinfurthii","Accepted",FALSE,"Dammer","Lycium","species","Solanaceae","wfo-0001023165","http://solanaceaesource.org/solanaceae/lycium-schweinfurthii","The Solanaceae TEN"
"Lycium shawii","shrub","broadleaved","evergreen","C3",NA,1,4,"ESH","Lycium shawii","Accepted",FALSE,"Roem. & Schult.","Lycium","species","Solanaceae","wfo-0001023190","http://solanaceaesource.org/solanaceae/lycium-shawii","The Solanaceae TEN"
